化学式,相,温度,结构文件,密度_Atom_per_Angstrom3,体系原子数,贡献者,HPC来源路径,代表帧来源,功能性
Sb100Te200,amorphous,300K,tsq/sb-te/modeling/5-sbte2/2-opt/CONTCAR,0.02552,300,Siqi Tang,~/tsq/sb-te/modeling/5-sbte2/2-opt/CONTCAR,opt-CONTCAR,PCM
In90Te210,amorphous,300K,wh/InTe/37/1.2local/1-10k/2-opt/CONTCAR,0.02566,300,Huan Wang,~/wh/InTe/37/1.2local/1-10k/2-opt/CONTCAR,opt-CONTCAR,OTS
In90Te210,amorphous,300K,wh/InTe/37/8-2000K-300K/opt/CONTCAR,0.02566,300,Huan Wang,~/wh/InTe/37/8-2000K-300K/opt/CONTCAR,opt-CONTCAR,OTS
In90Te210,amorphous,300K,wh/InTe/37/fig.5.16/1/2-60ps/opt/CONTCAR,0.02566,300,Huan Wang,~/wh/InTe/37/fig.5.16/1/2-60ps/opt/CONTCAR,opt-CONTCAR,OTS
In90Te210,amorphous,300K,wh/InTe/37/sl/2-opt/CONTCAR,0.02566,300,Huan Wang,~/wh/InTe/37/sl/2-opt/CONTCAR,opt-CONTCAR,OTS
In81Si30Te189,amorphous,300K,wh/InTeSi/3-opt/CONTCAR,0.026,300,Huan Wang,~/wh/InTeSi/3-opt/CONTCAR,opt-CONTCAR,OTS
In81Si30Te189,amorphous,300K,wh/InTeSi/4-local/POSCAR,0.026,300,Huan Wang,~/wh/InTeSi/4-local/POSCAR,md-first-frame,OTS
In78Si39Te183,amorphous,300K,wyh/13InTeSi/3-opt/CONTCAR,0.02589,300,Yuhao Wang,~/wyh/13InTeSi/3-opt/CONTCAR,opt-CONTCAR,OTS
In75Si51Te174,amorphous,300K,wyh/17InTeSi/3-opt/CONTCAR,0.02589,300,Yuhao Wang,~/wyh/17InTeSi/3-opt/CONTCAR,opt-CONTCAR,OTS
In71Si63Te166,amorphous,300K,wyh/21InTeSi/3-opt/CONTCAR,0.02589,300,Yuhao Wang,~/wyh/21InTeSi/3-opt/CONTCAR,opt-CONTCAR,OTS
In77Si45Te178,amorphous,300K,wyh/InTe15si/3-opt/CONTCAR,0.02589,300,Yuhao Wang,~/wyh/InTe15si/3-opt/CONTCAR,opt-CONTCAR,OTS
In72Si60Te168,amorphous,300K,wyh/InTe20si/3-opt/CONTCAR,0.02589,300,Yuhao Wang,~/wyh/InTe20si/3-opt/CONTCAR,opt-CONTCAR,OTS
In90Te210,amorphous,300K,wyh/InTe37/3-opt/CONTCAR,0.026,300,Yuhao Wang,~/wyh/InTe37/3-opt/CONTCAR,opt-CONTCAR,OTS
In78Si39Te183,amorphous,300K,wyh/aInTeSi/3-opt/CONTCAR,0.02529,300,Yuhao Wang,~/wyh/aInTeSi/3-opt/CONTCAR,opt-CONTCAR,OTS
In75Si51Te174,amorphous,300K,wyh/bInTeSi/3-opt/CONTCAR,0.02529,300,Yuhao Wang,~/wyh/bInTeSi/3-opt/CONTCAR,opt-CONTCAR,OTS
In71Si63Te166,amorphous,300K,wyh/cInTeSi/3-opt/CONTCAR,0.02589,300,Yuhao Wang,~/wyh/cInTeSi/3-opt/CONTCAR,opt-CONTCAR,OTS
Ge32In8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/0-GeInSbTe/3-MD/POSCAR,0.02666,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/0-GeInSbTe/3-MD/POSCAR,md-first-frame,PCM
Ag8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/1-AgGeSbTe/3-MD/POSCAR,0.02726,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/1-AgGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Co8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/10-CoGeSbTe/3-MD/POSCAR,0.02968,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/10-CoGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Bi8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/11-BiGeSbTe/3-MD/POSCAR,0.02678,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/11-BiGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Te80Zn8,amorphous,300K,xqd/0-GST-dataset/pre_screen/12-GeSbTeZn/3-MD/POSCAR,0.02837,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/12-GeSbTeZn/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Ta8Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/13-GeSbTaTe/3-MD/POSCAR,0.02803,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/13-GeSbTaTe/3-MD/POSCAR,md-first-frame,PCM
Fe8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/14-FeGeSbTe/3-MD/POSCAR,0.02754,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/14-FeGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32O8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/15-GeOSbTe/3-MD/POSCAR,0.02944,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/15-GeOSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Sc8Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/16-GeSbScTe/3-MD/POSCAR,0.02827,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/16-GeSbScTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Te80Y8,amorphous,300K,xqd/0-GST-dataset/pre_screen/17-GeSbTeY/3-MD/POSCAR,0.02799,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/17-GeSbTeY/3-MD/POSCAR,md-first-frame,PCM
B8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/18-BGeSbTe/3-MD/POSCAR,0.02809,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/18-BGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Ni8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/19-GeNiSbTe/3-MD/POSCAR,0.0298,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/19-GeNiSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Ru8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/2-GeRuSbTe/3-MD/POSCAR,0.02767,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/2-GeRuSbTe/3-MD/POSCAR,md-first-frame,PCM
Ga8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/20-GaGeSbTe/3-MD/POSCAR,0.02762,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/20-GaGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Te80Ti8,amorphous,300K,xqd/0-GST-dataset/pre_screen/21-GeSbTeTi/3-MD/POSCAR,0.02667,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/21-GeSbTeTi/3-MD/POSCAR,md-first-frame,PCM
Ge32S8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/22-GeSSbTe/3-MD/POSCAR,0.02783,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/22-GeSSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Te80Zr8,amorphous,300K,xqd/0-GST-dataset/pre_screen/23-GeSbTeZr/3-MD/POSCAR,0.02719,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/23-GeSbTeZr/3-MD/POSCAR,md-first-frame,PCM
Al8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/24-AlGeSbTe/3-MD/POSCAR,0.02551,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/24-AlGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32N8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/25-GeNSbTe/3-MD/POSCAR,0.02755,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/25-GeNSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Tc8Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/26-GeSbTcTe/3-MD/POSCAR,0.02738,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/26-GeSbTcTe/3-MD/POSCAR,md-first-frame,PCM
Ge34Sb34Te84,amorphous,300K,xqd/0-GST-dataset/pre_screen/27-GeSbTe/3-MD/POSCAR,0.03,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/27-GeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Si8Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/28-GeSbSiTe/3-MD/POSCAR,0.02766,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/28-GeSbSiTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Hf8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/29-GeHfSbTe/3-MD/POSCAR,0.02677,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/29-GeHfSbTe/3-MD/POSCAR,md-first-frame,PCM
C8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/3-CGeSbTe/3-MD/POSCAR,0.02926,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/3-CGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Rh8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/30-GeRhSbTe/3-MD/POSCAR,0.02832,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/30-GeRhSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Pd8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/31-GePdSbTe/3-MD/POSCAR,0.02784,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/31-GePdSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Se8Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/32-GeSbSeTe/3-MD/POSCAR,0.02738,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/32-GeSbSeTe/3-MD/POSCAR,md-first-frame,PCM
As8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/33-AsGeSbTe/3-MD/POSCAR,0.02683,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/33-AsGeSbTe/3-MD/POSCAR,md-first-frame,OTS
Cu8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/34-CuGeSbTe/3-MD/POSCAR,0.02739,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/34-CuGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Mn8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/35-GeMnSbTe/3-MD/POSCAR,0.02787,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/35-GeMnSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Mo8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/36-GeMoSbTe/3-MD/POSCAR,0.02844,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/36-GeMoSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Te80V8,amorphous,300K,xqd/0-GST-dataset/pre_screen/4-GeSbTeV/3-MD/POSCAR,0.02788,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/4-GeSbTeV/3-MD/POSCAR,md-first-frame,PCM
Cd8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/5-CdGeSbTe/3-MD/POSCAR,0.02717,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/5-CdGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Cr8Ge32Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/6-CrGeSbTe/3-MD/POSCAR,0.02812,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/6-CrGeSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Sb32Sn8Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/7-GeSbSnTe/3-MD/POSCAR,0.02824,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/7-GeSbSnTe/3-MD/POSCAR,md-first-frame,PCM
Ge32Nb8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/8-GeNbSbTe/3-MD/POSCAR,0.02755,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/8-GeNbSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge32P8Sb32Te80,amorphous,300K,xqd/0-GST-dataset/pre_screen/9-GePSbTe/3-MD/POSCAR,0.02697,152,Qundao Xu,~/xqd/0-GST-dataset/pre_screen/9-GePSbTe/3-MD/POSCAR,md-first-frame,PCM
Ge45Sb255,amorphous,300K,xqd/0-GST-dataset/ref-data/1-Ge15Sb85/POSCAR,0.03098,300,Qundao Xu,~/xqd/0-GST-dataset/ref-data/1-Ge15Sb85/POSCAR,md-first-frame,Others
Ge43Sb86Te172,amorphous,300K,xqd/0-GST-dataset/ref-data/2-GST124/POSCAR,0.02855,301,Qundao Xu,~/xqd/0-GST-dataset/ref-data/2-GST124/POSCAR,md-first-frame,PCM
Ge25Sb100Te175,amorphous,300K,xqd/0-GST-dataset/ref-data/3-GST147/POSCAR,0.0274,300,Qundao Xu,~/xqd/0-GST-dataset/ref-data/3-GST147/POSCAR,md-first-frame,PCM
Ge82Sb55Te163,amorphous,300K,xqd/0-GST-dataset/ref-data/4-GST326/POSCAR,0.02777,300,Qundao Xu,~/xqd/0-GST-dataset/ref-data/4-GST326/POSCAR,md-first-frame,PCM
Ge116Sb29Te155,amorphous,300K,xqd/0-GST-dataset/ref-data/5-GST8211/POSCAR,0.02808,300,Qundao Xu,~/xqd/0-GST-dataset/ref-data/5-GST8211/POSCAR,md-first-frame,PCM
Ag12In9Sb201Te78,amorphous,300K,xqd/0-GST-dataset/ref-data/6-AIST/POSCAR,0.02855,300,Qundao Xu,~/xqd/0-GST-dataset/ref-data/6-AIST/POSCAR,md-first-frame,PCM
Ge44Sb44Te110,amorphous,300K,xqd/0-GST-dataset/ref-data/val/1-028/3-MD/POSCAR,0.028,198,Qundao Xu,~/xqd/0-GST-dataset/ref-data/val/1-028/3-MD/POSCAR,md-first-frame,PCM
Ge44Sb44Te110,amorphous,300K,xqd/0-GST-dataset/ref-data/val/1-028/4-MD-SMASS0/POSCAR,0.028,198,Qundao Xu,~/xqd/0-GST-dataset/ref-data/val/1-028/4-MD-SMASS0/POSCAR,md-first-frame,PCM
Ge44Sb44Te110,amorphous,300K,xqd/0-GST-dataset/ref-data/val/2-030/3-MD/POSCAR,0.03,198,Qundao Xu,~/xqd/0-GST-dataset/ref-data/val/2-030/3-MD/POSCAR,md-first-frame,PCM
Ge44Sb44Te110,amorphous,300K,xqd/0-GST-dataset/ref-data/val/3-032/3-MD/POSCAR,0.032,198,Qundao Xu,~/xqd/0-GST-dataset/ref-data/val/3-032/3-MD/POSCAR,md-first-frame,PCM
Ge44Sb44Te110,amorphous,300K,xqd/0-GST-dataset/ref-data/val/4-034/3-MD/POSCAR,0.034,198,Qundao Xu,~/xqd/0-GST-dataset/ref-data/val/4-034/3-MD/POSCAR,md-first-frame,PCM
Sb144Te216,amorphous,300K,xqd/1-C-Sb2Te3/0-Sb2Te3/3-opt/CONTCAR,0.02884,360,Qundao Xu,~/xqd/1-C-Sb2Te3/0-Sb2Te3/3-opt/CONTCAR,opt-CONTCAR,PCM
C36Sb130Te194,amorphous,300K,xqd/1-C-Sb2Te3/10%/3-opt/CONTCAR,0.02979,360,Qundao Xu,~/xqd/1-C-Sb2Te3/10%/3-opt/CONTCAR,opt-CONTCAR,PCM
C54Sb123Te183,amorphous,300K,xqd/1-C-Sb2Te3/15%/3-opt/CONTCAR,0.03075,360,Qundao Xu,~/xqd/1-C-Sb2Te3/15%/3-opt/CONTCAR,opt-CONTCAR,PCM
C18Sb137Te205,amorphous,300K,xqd/1-C-Sb2Te3/5%/3-opt/CONTCAR,0.02965,360,Qundao Xu,~/xqd/1-C-Sb2Te3/5%/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge64Se64,amorphous,300K,xqd/11-GeSe/MLP-stru/POSCAR,0.036,128,Qundao Xu,~/xqd/11-GeSe/MLP-stru/POSCAR,md-first-frame,OTS
Ge48Sb48Te120,amorphous,300K,xqd/12-aging-process/1-GST/27/3-opt/CONTCAR,0.027,216,Qundao Xu,~/xqd/12-aging-process/1-GST/27/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge48Sb48Te120,amorphous,300K,xqd/12-aging-process/1-GST/28/3-opt/CONTCAR,0.028,216,Qundao Xu,~/xqd/12-aging-process/1-GST/28/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge48Sb48Te120,amorphous,300K,xqd/12-aging-process/1-GST/29/3-opt/CONTCAR,0.029,216,Qundao Xu,~/xqd/12-aging-process/1-GST/29/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge100Te100,amorphous,300K,xqd/12-aging-process/2-GeTe/30/3-opt/CONTCAR,0.03,200,Qundao Xu,~/xqd/12-aging-process/2-GeTe/30/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge100Te100,amorphous,300K,xqd/12-aging-process/2-GeTe/31/3-opt/CONTCAR,0.031,200,Qundao Xu,~/xqd/12-aging-process/2-GeTe/31/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge100Te100,amorphous,300K,xqd/12-aging-process/2-GeTe/32/3-opt/CONTCAR,0.032,200,Qundao Xu,~/xqd/12-aging-process/2-GeTe/32/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge100Te100,amorphous,300K,xqd/12-aging-process/2-GeTe/33/3-opt/CONTCAR,0.033,200,Qundao Xu,~/xqd/12-aging-process/2-GeTe/33/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge100Te100,amorphous,350K,xqd/12-aging-process/2-GeTe/33/5-long-MD/POSCAR,0.033,200,Qundao Xu,~/xqd/12-aging-process/2-GeTe/33/5-long-MD/POSCAR,md-first-frame,PCM
Ge100Te100,amorphous,300K,xqd/12-aging-process/2-GeTe/34/3-opt/CONTCAR,0.034,200,Qundao Xu,~/xqd/12-aging-process/2-GeTe/34/3-opt/CONTCAR,opt-CONTCAR,PCM
Sb80Te120,amorphous,300K,xqd/12-aging-process/3-Sb2Te3/24/3-opt/CONTCAR,0.024,200,Qundao Xu,~/xqd/12-aging-process/3-Sb2Te3/24/3-opt/CONTCAR,opt-CONTCAR,PCM
Sb80Te120,amorphous,300K,xqd/12-aging-process/3-Sb2Te3/25/3-opt/CONTCAR,0.025,200,Qundao Xu,~/xqd/12-aging-process/3-Sb2Te3/25/3-opt/CONTCAR,opt-CONTCAR,PCM
Sb80Te120,amorphous,350K,xqd/12-aging-process/3-Sb2Te3/25/5-long-MD/POSCAR,0.025,200,Qundao Xu,~/xqd/12-aging-process/3-Sb2Te3/25/5-long-MD/POSCAR,md-first-frame,PCM
Sb80Te120,amorphous,300K,xqd/12-aging-process/3-Sb2Te3/26/3-opt/CONTCAR,0.026,200,Qundao Xu,~/xqd/12-aging-process/3-Sb2Te3/26/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge32Te32,amorphous,300K,xqd/12-aging-process/cry/1-GeTe/1-opt/CONTCAR,0.03518,64,Qundao Xu,~/xqd/12-aging-process/cry/1-GeTe/1-opt/CONTCAR,opt-CONTCAR,PCM
Ge13Sb13Te32,amorphous,300K,xqd/12-aging-process/cry/2-GST/2_2_2/1/1-opt/CONTCAR,0.03144,58,Qundao Xu,~/xqd/12-aging-process/cry/2-GST/2_2_2/1/1-opt/CONTCAR,opt-CONTCAR,PCM
Ge13Sb13Te32,amorphous,300K,xqd/12-aging-process/cry/2-GST/2_2_2/2/2-opt2/CONTCAR,0.03133,58,Qundao Xu,~/xqd/12-aging-process/cry/2-GST/2_2_2/2/2-opt2/CONTCAR,opt-CONTCAR,PCM
Ge13Sb13Te32,amorphous,300K,xqd/12-aging-process/cry/2-GST/2_2_2/3/1-opt/CONTCAR,0.03116,58,Qundao Xu,~/xqd/12-aging-process/cry/2-GST/2_2_2/3/1-opt/CONTCAR,opt-CONTCAR,PCM
Ge13Sb13Te32,amorphous,300K,xqd/12-aging-process/cry/2-GST/2_2_2/4/2-opt2/CONTCAR,0.03122,58,Qundao Xu,~/xqd/12-aging-process/cry/2-GST/2_2_2/4/2-opt2/CONTCAR,opt-CONTCAR,PCM
Ge13Sb13Te32,amorphous,300K,xqd/12-aging-process/cry/2-GST/2_2_2/5/2-opt2/CONTCAR,0.03143,58,Qundao Xu,~/xqd/12-aging-process/cry/2-GST/2_2_2/5/2-opt2/CONTCAR,opt-CONTCAR,PCM
Ge43Sb43Te108,amorphous,300K,xqd/12-aging-process/cry/2-GST/3_3_3/1/1-opt/CONTCAR,0.03157,194,Qundao Xu,~/xqd/12-aging-process/cry/2-GST/3_3_3/1/1-opt/CONTCAR,opt-CONTCAR,PCM
Ge43Sb43Te108,amorphous,300K,xqd/12-aging-process/cry/2-GST/3_3_3/2/1-opt/CONTCAR,0.03153,194,Qundao Xu,~/xqd/12-aging-process/cry/2-GST/3_3_3/2/1-opt/CONTCAR,opt-CONTCAR,PCM
